Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
1951,4403.0,7712.0,356.0,0.17,1,0,0.2,0,0.03655201690123207,1,1.0,1,0.62,3.1141357245578782,0.28392412554533986,0.17964990763046554,0.3757443884204711
1952,5325.548,8181.649,498.0,0.0025,0,0,0.2,0,0.14048254281657765,0,0.0,0,0.05,0.36887483222919454,0.6692550062957145,0.1867157979021039,0.37566691217947445
1953,10795.755,5751.862,1533.93,0.0025,0,0,0.0,0,0.004172990870863547,0,0.0,0,0.0,0.3855237810890919,-0.6513610124622446,0.1867157979021039,0.37540672100768846
1954,5366.878,7888.632,633.0,0.006,0,0,0.0,0,0.252594344930409,0,0.0,0,0.0,0.27830005681521647,0.7390304784018416,1.377,0.3752064524133512
1955,6463.948,7037.448,1206.0,0.401,1,0,0.2,0,0.4245979630938453,1,0.8947368421052632,1,0.91,0.36866902215042197,0.3293593090524333,0.722991173496274,0.37355297254977177
1956,7181.995,5262.575,1387.149,0.006,0,0,0.0,0,0.12569460549213032,0,0.06719367588932806,0,0.04,0.6258095778037116,0.5123258298196501,0.1867157979021039,0.3732691001844262
1957,5514.741,6892.746,1019.0,0.016,0,0,0.2,0,0.13315822512695946,0,0.03278688524590164,0,0.02,0.4011442452277014,0.31611355359922,0.37251395480634897,0.37304262063633503
1958,4723.0,5995.0,1040.0,0.042,0,0,0.0,0,0.09500690612695974,0,0.0,0,0.09,0.26154697431436547,0.5318714073710167,0.21397319850419855,0.3725603431248019
1959,4632.068,6302.892,1037.3,0.266,1,0,0.2,0,0.3876835252846052,0,0.06818181818181818,0,0.07,0.9784068845240059,0.7851478538724863,0.17964990763046554,0.372537630306481
1960,5415.317,7886.495,657.0,0.009,0,0,0.0,0,0.13482283899969696,0,0.0,0,0.0,0.3199581099474837,0.3960250645974116,1.377,0.37231816584755484
