Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
147,6878.0,7953.0,955.0,0.82,1,0,0.4,0,0.17763189595249199,0,0.02702702702702703,0,0.11,1.9988260721747306
148,7637.571,7300.337,1220.0,0.021,0,0,0.0,0,0.34226969216133746,0,0.02702702702702703,0,0.02,1.9988260721747306
149,6432.989,7796.449,935.0,0.422,1,1,0.6,0,0.14326497213431616,1,1.0,1,0.74,1.9988260721747306
150,6756.568,7967.345,968.0,0.0025,0,0,0.0,0,0.14452333091399155,0,0.03278688524590164,0,0.06,1.9988260721747306
151,6972.504,4908.509,1047.699,0.187,1,0,0.4,1,0.9995974415507465,1,1.0,1,0.88,1.9854797135763198
152,6613.204,7601.88,964.0,0.005,0,0,0.4,0,0.1586070972120277,0,0.0,0,0.01,1.9844162623393502
153,4686.67,6204.417,1080.0,0.855,1,1,0.8,1,0.9998635525752001,1,1.0,1,0.77,1.9727156701221398
154,8630.2,5842.56,1396.0,0.02,0,0,0.2,0,0.225387148340678,0,0.06719367588932806,0,0.06,1.9622173115062451
155,7088.075,7888.41,1026.789,0.0025,0,0,0.2,0,0.2170170401315544,0,0.0,0,0.0,1.9622173115062451
156,6411.0,8998.0,553.0,0.0025,0,0,0.0,0,0.08385949894880242,0,0.0,0,0.01,1.9622173115062451
157,4692.0,7856.0,342.0,0.0025,0,0,0.0,0,0.16222379449276583,0,0.0,0,0.0,1.9622173115062451
158,4651.0,7904.0,311.0,0.0025,0,0,0.0,0,0.07063191234660422,0,0.0,0,0.02,1.9622173115062451
159,4729.95,7936.9,275.0,0.0025,0,0,0.0,0,0.10017333203769786,0,0.0,0,0.01,1.9622173115062451
160,6335.0,7610.0,892.0,0.028,0,0,0.0,0,0.19456595515594838,0,0.07142857142857142,0,0.04,1.9622173115062451
161,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912,1,1.0,1,0.83,1.9484944133852973
162,4730.0,7936.0,275.0,0.0025,0,0,0.0,0,0.06975367325126376,0,0.0,0,0.01,1.945753096399772
163,4625.0,7887.0,310.0,0.0025,0,0,0.0,0,0.06459666851109185,0,0.06818181818181818,0,0.01,1.945753096399772
164,7540.48,7444.068,1247.0,0.006,0,0,0.0,0,0.23677202461603597,0,0.4666666666666667,0,0.1,1.9296151283803349
165,4924.965,6626.562,1066.0,6.953,1,1,1.0,1,0.997709939868111,1,1.0,1,0.96,1.925153447300512
166,6090.277,9033.208,574.0,0.026,0,0,0.2,0,0.02545090719382384,0,0.0,0,0.01,1.8857940184374031
167,9461.0,6328.0,1496.709,0.014,0,0,0.2,0,0.07726849984184803,0,0.06719367588932806,0,0.14,1.8757226314355788
168,7723.405,7197.07,1270.0,0.0025,0,0,0.0,0,0.10400441343893069,0,0.0,0,0.02,1.8672929220728591
169,6171.418,7391.818,1024.0,0.193,1,1,0.8,0,0.25015570857436753,1,0.8947368421052632,1,0.79,1.8544137167564863
